YP_220550.1	NP_059331.1	69.010	313	97	0	4	316	10	322	1.24e-150	426
YP_220551.1	NP_059332.1	44.509	346	188	3	1	344	1	344	8.62e-92	279
YP_220551.1	NP_059341.1	24.540	163	112	3	112	263	231	393	5.14e-06	49.7
YP_220551.1	NP_059340.1	26.804	97	65	2	98	188	200	296	0.10	35.8
YP_220552.1	NP_059333.1	88.132	514	61	0	1	514	1	514	0.0	877
YP_220552.1	XP_021326074.1	31.818	66	32	2	427	482	16	78	6.7	29.3
YP_220552.1	NP_001373511.1	31.818	66	32	2	427	482	48	110	7.5	29.6
YP_220553.1	NP_059334.1	70.925	227	66	0	1	227	1	227	2.97e-127	360
YP_220553.1	NP_001038725.1	28.571	70	46	2	15	84	261	326	1.8	31.2
YP_220553.1	XP_005161478.1	28.571	70	46	2	15	84	261	326	1.9	31.2
YP_220553.1	XP_021324580.1	28.571	70	46	2	15	84	163	228	2.1	30.8
YP_220554.1	XP_002665692.3	25.862	58	42	1	5	61	2588	2645	0.080	31.2
YP_220554.1	XP_021324264.1	25.862	58	42	1	5	61	2278	2335	0.083	31.2
YP_220554.1	XP_009290033.1	50.000	30	13	1	26	55	42	69	1.0	28.1
YP_220554.1	XP_005156656.1	37.931	29	17	1	34	61	167	195	7.7	25.4
YP_220554.1	NP_001007391.1	37.931	29	17	1	34	61	167	195	8.0	25.4
YP_220555.1	NP_059336.1	52.212	226	107	1	1	225	1	226	2.18e-65	202
YP_220556.1	NP_059337.1	78.161	261	57	0	1	261	1	261	3.61e-146	410
YP_220556.1	XP_021330598.1	37.838	37	23	0	3	39	37	73	1.6	31.6
YP_220556.1	NP_001139036.1	37.838	37	23	0	3	39	37	73	1.7	31.6
YP_220556.1	NP_001070643.1	36.111	36	19	1	173	208	675	706	8.4	29.3
YP_220557.1	NP_059338.1	61.207	116	44	1	1	115	1	116	2.53e-43	138
YP_220558.1	NP_059339.1	53.061	98	46	0	1	98	1	98	5.73e-29	100
YP_220558.1	NP_001002376.1	57.895	19	8	0	20	38	136	154	6.5	26.9
YP_220558.1	XP_005158565.1	57.895	19	8	0	20	38	149	167	6.7	26.9
YP_220558.1	XP_706537.4	31.373	51	25	2	40	80	65	115	10.0	26.6
YP_220559.1	NP_059340.1	62.582	457	170	1	1	456	1	457	0.0	572
YP_220559.1	NP_059341.1	23.039	204	146	6	106	306	128	323	1.32e-05	48.9
YP_220559.1	NP_059332.1	32.432	111	59	6	198	304	97	195	1.3	32.7
YP_220559.1	XP_009301289.1	24.074	108	65	4	169	276	148	238	7.3	30.8
YP_220560.1	NP_059341.1	55.126	595	257	8	7	597	9	597	0.0	617
YP_220560.1	NP_059340.1	23.077	351	246	11	107	442	84	425	1.51e-09	62.0
YP_220560.1	NP_059332.1	24.171	211	145	6	226	433	105	303	1.17e-06	52.4
YP_220560.1	XP_017210528.1	26.087	69	44	1	365	433	129	190	1.9	33.1
YP_220560.1	NP_001159387.1	26.087	69	44	1	365	433	142	203	2.4	32.7
YP_220560.1	XP_021330470.1	30.645	62	38	2	164	223	379	437	4.2	32.0
YP_220560.1	XP_689554.6	35.417	48	28	1	554	598	1107	1154	8.4	31.2
YP_220561.1	NP_059342.1	37.143	140	72	3	1	127	1	137	2.34e-20	84.0
YP_220561.1	NP_001038688.1	29.412	85	54	3	33	112	306	389	5.4	28.9
YP_220562.1	NP_059343.1	73.810	378	99	0	1	378	1	378	0.0	588
YP_220562.1	XP_021322416.1	28.704	108	60	4	223	315	263	368	4.8	30.8
YP_220562.1	XP_021322415.1	28.704	108	60	4	223	315	263	368	4.8	30.8
YP_220562.1	XP_021322414.1	28.704	108	60	4	223	315	310	415	5.6	30.4
YP_220562.1	XP_021322413.1	28.704	108	60	4	223	315	310	415	5.6	30.4
NP_904328.1	NP_059331.1	69.010	313	97	0	4	316	10	322	1.24e-150	426
NP_904329.1	NP_059332.1	44.509	346	188	3	1	344	1	344	8.62e-92	279
